m,n,sigma,mean_estimation,std_dev,within_1σ,within_2σ
256,1000000,0.065,1001235.67,59149.0619,73/100,99/100
1024,1000000,0.0325,1001238.35,30923.9542,66/100,98/100
4096,1000000,0.01625,1002865.66,15604.5219,69/100,97/100
